text,from,from_id
проблема,Stepan Sokovich,user938572087
сказать,Stepan Sokovich,user938572087
здравствовать почему тесто remove wall координата сдвигать ось например передавать координата тесто должный удаляться стена координата,Polina,user6206816311
намана,Stepan Sokovich,user938572087
строчка столбец,Polina,user6206816311
координата,Polina,user6206816311
это,Polina,user6206816311
индекс список ноль начинаться,Stepan Sokovich,user938572087
подсписок,Stepan Sokovich,user938572087
поэтому,Stepan Sokovich,user938572087
строчка столбец,Polina,user6206816311
ноль,Polina,user6206816311
норма,Stepan Sokovich,user938572087
точно,Stepan Sokovich,user938572087
строчка столбец,Stepan Sokovich,user938572087
убираться строчка столбец,Stepan Sokovich,user938572087
почему строчка,Polina,user6206816311
должный,Stepan Sokovich,user938572087
строчка столбец,Polina,user6206816311
указывать,Stepan Sokovich,user938572087
строчка столбец,Polina,user6206816311
работать элемент,Stepan Sokovich,user938572087
вход функция выполнение получать,Stepan Sokovich,user938572087
выполнять функция,Stepan Sokovich,user938572087
убираться элемент сверху,Stepan Sokovich,user938572087
индекс,Stepan Sokovich,user938572087
ааа думать функция передавать нужно удалять,Polina,user6206816311
твой функция убирать элемент который получать вход граница который элемент квадратик слева справа,Stepan Sokovich,user938572087
сверху снизу,Stepan Sokovich,user938572087
должно,Stepan Sokovich,user938572087
сверху справа,Stepan Sokovich,user938572087
понятно,Polina,user6206816311
спасибо,Polina,user6206816311
добрый день вопрос лаб правильно тестировать функция пока код бесконечно выполняться ошибка посмотреть,Диана Клапнева,user1858713756
тест функция видно,Диана Клапнева,user1858713756
зайти файл тесто,Stepan Sokovich,user938572087
увидеть название тест,Stepan Sokovich,user938572087
благодарить,Диана Клапнева,user1858713756
avchernysheva,пчелошвейка,user934145073
мочь уточнять формат завтра защита лаб,,
дистанционный ссылка отправлять поздно вечер,Анастасия Чернышева,user376852612
дистанционный смысл зум,пчелошвейка,user934145073
зум,Анастасия Чернышева,user376852612
подсказывать время просто завтра защита курсовой проект,Ирина.,user1552053424
специально дистанционно специально защита проект просить защита курсовик команда группа поставлять поздно начало хотеть успевать везде успевать,Анастасия Чернышева,user376852612
сдавать порядок живой очередь например подключаться,Костя,user1994288719
записываться форма сдача работа порядок запись записываться записываться удобно,Анастасия Чернышева,user376852612
подсказывать пожалуйста время нужно практика готовый защищать,аве,user565902538
завтра вечер,Анастасия Чернышева,user376852612
ссылка завтра,Анастасия Чернышева,user376852612
защищаться,프랭키 루빈🧞‍♀️,user475755665
добрый утро лаб сдавать консультация вовремя сессия сегодня последний день сдача вообще,Анастасия Елизарова,user904135243
уточнять сдавать,Анастасия Чернышева,user376852612
консультация январь,,
лаб номер сдавать любой лаб сдавать просто любой,,
сколько балл,,
лаб максимум весь остальной максимум,,
практик тест,,
это экзамен январь пересдавать любой количество тест обнуление любой количество иметься балл тест который пересдавать практический задание закрывать решение задача балл ход экзамен,,
практический задание просто доделывать сегодня сдавать,денис крандер,user702401646
практический задание загружать сегодня конец день сегодня,Анастасия Чернышева,user376852612
судя большой количество вопрос дедлайн практик проверять сегодня завтра утро день кончаться утро успевать,Анастасия Чернышева,user376852612
